  Title : 700nm1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2020-11-16
  Time : 17:27:24
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
2.687350 4
2.693458 2
2.699565 6
2.705673 5
2.711781 3
2.717888 2
2.723996 3
2.730103 2
2.736211 8
2.742319 4
2.748426 2
2.754534 1
2.760642 2
2.766749 4
2.772857 4
2.778964 3
2.785072 4
2.791180 4
2.797287 5
2.803395 6
2.809502 0
2.815610 1
2.821718 2
2.827825 0
2.833933 4
2.840041 3
2.846148 2
2.852256 4
2.858363 5
2.864471 4
2.870579 4
2.876686 5
2.882794 1
2.888901 2
2.895009 3
2.901117 4
2.907224 1
2.913332 4
2.919439 0
2.925547 4
2.931655 2
2.937762 1
2.943870 2
2.949978 4
2.956085 1
2.962193 3
2.968300 3
2.974408 1
2.980516 1
2.986623 3
2.992731 2
2.998838 4
3.004946 2
3.011054 4
3.017161 4
3.023269 2
3.029377 4
3.035484 5
3.041592 0
3.047699 1
3.053807 1
3.059915 0
3.066022 4
3.072130 4
3.078237 4
3.084345 0
3.090453 5
3.096560 6
3.102668 2
3.108776 4
3.114883 0
3.120991 3
3.127098 6
3.133206 3
3.139314 2
3.145421 2
3.151529 4
3.157636 3
3.163744 1
3.169852 2
3.175959 2
3.182067 5
3.188174 4
3.194282 2
3.200390 3
3.206497 8
3.212605 8
3.218713 2
3.224820 5
3.230928 6
3.237035 1
3.243143 0
3.249251 6
3.255358 4
3.261466 4
3.267573 5
3.273681 3
3.279789 6
3.285896 5
3.292004 3
3.298112 2
3.304219 2
3.310327 1
3.316434 2
3.322542 5
3.328650 5
3.334757 3
3.340865 2
3.346972 3
3.353080 3
3.359188 4
3.365295 3
3.371403 1
3.377511 1
3.383618 2
3.389726 2
3.395833 4
3.401941 2
3.408049 2
3.414156 3
3.420264 0
3.426371 2
3.432479 5
3.438587 2
3.444694 1
3.450802 3
3.456910 4
3.463017 2
3.469125 2
3.475232 1
3.481340 3
3.487448 3
3.493555 2
3.499663 2
3.505770 3
3.511878 6
3.517986 2
3.524093 3
3.530201 4
3.536308 2
3.542416 2
3.548524 4
3.554631 5
3.560739 3
3.566847 3
3.572954 4
3.579062 6
3.585169 3
3.591277 8
3.597385 17
3.603492 14
3.609600 31
3.615707 42
3.621815 49
3.627923 108
3.634030 138
3.640138 195
3.646246 201
3.652353 264
3.658461 349
3.664568 362
3.670676 377
3.676784 527
3.682891 785
3.688999 1174
3.695106 1792
3.701214 2880
3.707322 4403
3.713429 6107
3.719537 8281
3.725645 11164
3.731752 13463
3.737860 14457
3.743967 14780
3.750075 16278
3.756183 15678
3.762290 14862
3.768398 14913
3.774505 16153
3.780613 18221
3.786721 18609
3.792828 20286
3.798936 24476
3.805044 27404
3.811151 27981
3.817259 28921
3.823366 30297
3.829474 29529
3.835582 26179
3.841689 23042
3.847797 22509
3.853904 19645
3.860012 16893
3.866120 15152
3.872227 14319
3.878335 13054
3.884442 11727
3.890550 10225
3.896658 10390
3.902765 9328
3.908873 8406
3.914981 8133
3.921088 8192
3.927196 7838
3.933303 7241
3.939411 6839
3.945519 7210
3.951626 7030
3.957734 6637
3.963841 6751
3.969949 6943
3.976057 7206
3.982164 6670
3.988272 6271
3.994380 6750
4.000487 6564
4.006595 6058
4.012702 5839
4.018810 5991
4.024918 5720
4.031025 5345
4.037133 5000
4.043240 5248
4.049348 4857
4.055456 4438
4.061563 4317
4.067671 4170
4.073779 4156
4.079886 3894
4.085994 3583
4.092101 3780
4.098209 3559
4.104317 3363
4.110424 3345
4.116532 3533
4.122639 3351
4.128747 3184
4.134855 2813
4.140962 3015
4.147070 2843
4.153178 2659
4.159285 2703
4.165393 2798
4.171500 2809
4.177608 2581
4.183716 2418
4.189823 2570
4.195931 2673
4.202038 2287
4.208146 2219
4.214254 2351
4.220361 2391
4.226469 2097
4.232576 2023
4.238684 2153
4.244792 1884
4.250899 1872
4.257007 1911
4.263115 1963
4.269222 1952
4.275330 1770
4.281437 1710
4.287545 1808
4.293653 1733
4.299760 1630
4.305868 1542
4.311975 1704
4.318083 1588
4.324191 1522
4.330298 1352
4.336406 1537
4.342514 1405
4.348621 1337
4.354729 1323
4.360836 1368
4.366944 1424
4.373052 1336
4.379159 1200
4.385267 1267
4.391374 1205
4.397482 1173
4.403590 1113
4.409697 1154
4.415805 1146
4.421913 1113
4.428020 1059
4.434128 1108
4.440235 1043
4.446343 1043
4.452451 916
4.458558 982
4.464666 966
4.470773 883
4.476881 916
4.482989 948
4.489096 905
4.495204 808
4.501312 848
4.507419 810
4.513527 856
4.519634 787
4.525742 766
4.531850 780
4.537957 707
4.544065 702
4.550172 711
4.556280 759
4.562388 708
4.568495 666
4.574603 657
4.580710 674
4.586818 620
4.592926 615
4.599033 598
4.605141 635
4.611249 630
4.617356 524
4.623464 580
4.629571 542
4.635679 554
4.641787 530
4.647894 507
4.654002 523
4.660109 567
4.666217 491
4.672325 480
4.678432 529
4.684540 480
4.690648 435
4.696755 430
4.702863 486
4.708970 432
4.715078 425
4.721186 386
4.727293 429
4.733401 452
4.739508 391
4.745616 396
4.751724 405
4.757831 451
4.763939 342
4.770047 345
4.776154 363
4.782262 362
4.788369 314
4.794477 342
4.800585 308
4.806692 330
4.812800 301
4.818907 291
4.825015 301
4.831123 323
4.837230 305
4.843338 315
4.849446 302
4.855553 285
4.861661 269
4.867768 256
4.873876 262
4.879984 288
4.886091 246
4.892199 244
4.898306 265
4.904414 232
4.910522 223
4.916629 233
4.922737 250
4.928844 250
4.934952 222
4.941060 192
4.947167 224
4.953275 273
4.959383 196
4.965490 215
4.971598 197
4.977705 254
4.983813 223
4.989921 211
4.996028 189
5.002136 198
5.008243 188
5.014351 169
5.020459 193
5.026566 158
5.032674 173
5.038782 165
5.044889 183
5.050997 184
5.057104 161
5.063212 165
5.069320 157
5.075427 143
5.081535 165
5.087642 124
5.093750 134
5.099858 129
5.105965 143
5.112073 139
5.118181 124
5.124288 130
5.130396 107
5.136503 123
5.142611 114
5.148719 127
5.154826 117
5.160934 119
5.167041 130
5.173149 117
5.179257 131
5.185364 116
5.191472 118
5.197579 126
5.203687 106
5.209795 104
5.215902 93
5.222010 94
5.228118 97
5.234225 96
5.240333 88
5.246440 90
5.252548 88
5.258656 106
5.264763 90
5.270871 85
5.276978 79
5.283086 76
5.289194 97
5.295301 83
5.301409 71
5.307517 85
5.313624 71
5.319732 73
5.325839 68
5.331947 68
5.338055 78
5.344162 93
5.350270 84
5.356377 81
5.362485 72
5.368593 74
